event_id,session_id,start_time_s,end_time_s,label,severity,review_status,annotation_source,notes
sample_001,sample_10hz,0.0,0.9,Stationary,na,reviewed,manual_signal_review,"GPS speed is zero; IMU is at baseline."
sample_002,sample_10hz,1.0,1.6,Clutch Release,moderate,reviewed,manual_signal_review,"Brief multi-axis vibration without sustained longitudinal acceleration."
sample_003,sample_10hz,1.7,3.8,Normal Driving,na,reviewed,manual_signal_review,"Smooth pull-away."
sample_004,sample_10hz,3.9,4.5,Harsh Acceleration,strong,reviewed,manual_signal_review,"Sustained positive longitudinal acceleration with rising GPS speed."
sample_005,sample_10hz,4.6,8.3,Normal Driving,na,reviewed,manual_signal_review,"Cruise and a yaw/lateral turn; no harsh event."
sample_006,sample_10hz,8.4,9.2,Harsh Braking,moderate,reviewed,manual_signal_review,"Sustained negative longitudinal acceleration with falling GPS speed."
sample_007,sample_10hz,9.3,10.4,Normal Driving,na,reviewed,manual_signal_review,"Recovery after braking."
sample_008,sample_10hz,10.5,10.6,Pothole/Bump,strong,reviewed,manual_signal_review,"Large vertical spike/dip with pitch response."
sample_009,sample_10hz,10.7,14.2,Normal Driving,na,reviewed,manual_signal_review,"Includes gentle deceleration to a stop; deliberately not harsh braking."
sample_010,sample_10hz,14.3,14.6,Clutch Release,weak,reviewed,manual_signal_review,"Short multi-axis vibration while nearly stopped."
sample_011,sample_10hz,14.7,19.1,Normal Driving,na,reviewed,manual_signal_review,"Pull-away and a normal yaw/lateral turn."
sample_012,sample_10hz,19.2,19.7,Harsh Acceleration,weak,reviewed,manual_signal_review,"Weaker sustained positive longitudinal acceleration."
sample_013,sample_10hz,19.8,21.8,Normal Driving,na,reviewed,manual_signal_review,"Normal recovery and cruise."
sample_014,sample_10hz,21.9,22.5,Harsh Braking,strong,reviewed,manual_signal_review,"Strong sustained negative longitudinal acceleration."
sample_015,sample_10hz,22.6,23.7,Normal Driving,na,reviewed,manual_signal_review,"Recovery after braking."
sample_016,sample_10hz,23.8,24.0,Pothole/Bump,weak,reviewed,manual_signal_review,"Weaker vertical and pitch impulse."
sample_017,sample_10hz,24.1,25.7,Normal Driving,na,reviewed,manual_signal_review,"Steady driving to end."
